question_id,question_text,answer_format
q001,"How many person records are in the 2024 ACS 1-year PUMS person file for Texas (psam_p48.csv)? Give the unweighted record count (number of rows). Answer format: integer, no separators.",integer
q002,"How many person records in psam_p48.csv have AGEP (age) greater than or equal to 65? Give the unweighted record count. Answer format: integer, no separators.",integer
q003,"How many records in the 2024 ACS 1-year PUMS household file for Texas (psam_h48.csv) have TYPEHUGQ equal to 1 (housing unit)? Give the unweighted record count. Answer format: integer, no separators.",integer
q004,"How many person records in psam_p48.csv have SEX equal to 2 (female)? Give the unweighted record count. Answer format: integer, no separators.",integer
q005,"How many person records in psam_p48.csv have ESR (employment status recode) equal to 3, meaning unemployed? Count records whose ESR value is exactly 3; ESR is blank for persons under 16 years old, and blank records are not counted. Give the unweighted record count. Answer format: integer, no separators.",integer
q006,"How many records in psam_h48.csv are vacant housing units, defined as TYPEHUGQ equal to 1 (housing unit) and NP equal to 0 (vacant unit)? Give the unweighted record count. Answer format: integer, no separators.",integer
q007,"Using person weights (PWGTP), what is the estimated number of persons in Texas aged 65 or older? Sum PWGTP over person records with AGEP >= 65. Answer format: integer, no separators.",integer
q008,"Using household weights (WGTP), what is the estimated number of renter-occupied households in Texas? The universe is occupied housing units (TYPEHUGQ equal to 1 and NP greater than or equal to 1) with TEN equal to 3 (rented). Sum WGTP over that universe. Answer format: integer, no separators.",integer
q009,What is the PWGTP-weighted mean age over all person records? Weighted mean = sum(AGEP * PWGTP) / sum(PWGTP). Round to exactly two decimal places. Answer format: decimal2.,decimal2
q010,"Among civilian employed persons (ESR equal to 1 or 2), what is the PWGTP-weighted mean wage or salary income (WAGP) in ADJINC-adjusted dollars? Adjusted wage = WAGP * ADJINC / 1000000. Weighted mean = sum(adjusted wage * PWGTP) / sum(PWGTP) over the universe. Persons with WAGP equal to 0 are part of the universe and included in the mean. Round to the nearest whole dollar. Answer format: integer, no separators.",integer
q011,"What is the PWGTP-weighted median age over all person records? The weighted median is the smallest value v such that the sum of PWGTP over records with AGEP <= v is at least half of the total sum of PWGTP. Answer format: integer, no separators.",integer
q012,"Among civilian employed persons (ESR equal to 1 or 2) with WAGP greater than 0, what is the PWGTP-weighted median wage or salary income in ADJINC-adjusted dollars? First compute the weighted median of unadjusted WAGP over the universe: the smallest value v such that the sum of PWGTP over universe records with WAGP <= v is at least half of the total PWGTP of the universe. Then multiply that median by ADJINC / 1000000 and round to the nearest whole dollar. Answer format: integer, no separators.",integer
q013,"What is the WGTP-weighted median household income (HINCP) in ADJINC-adjusted dollars among occupied housing units (TYPEHUGQ equal to 1 and NP greater than or equal to 1)? The weighted median is the smallest value v such that the cumulative sum of WGTP over universe records with HINCP <= v is at least half of the total WGTP of the universe. Multiply that median by ADJINC / 1000000 and round to the nearest whole dollar. Answer format: integer, no separators.",integer
q014,"What is the PWGTP-weighted 75th percentile of age over all person records, defined as the smallest value v such that the sum of PWGTP over records with AGEP <= v is at least 75 percent of the total sum of PWGTP? Answer format: integer, no separators.",integer
q015,What is the WGTP-weighted mean household size among occupied housing units (TYPEHUGQ equal to 1 and NP greater than or equal to 1)? Household size is NP. Weighted mean = sum(NP * WGTP) / sum(WGTP) over the universe. Round to exactly two decimal places. Answer format: decimal2.,decimal2
q016,"What percentage of the PWGTP-weighted Texas population is under 18 years old? Compute 100 * sum(PWGTP over records with AGEP < 18) / sum(PWGTP over all person records). Round to one decimal place. Answer format: percent1 (a number with one decimal place, no percent sign).",percent1
q017,"Among persons aged 25 or older, what percentage hold a bachelor's degree or higher, meaning SCHL greater than or equal to 21? Compute 100 * sum(PWGTP over records with AGEP >= 25 and SCHL >= 21) / sum(PWGTP over records with AGEP >= 25). Round to one decimal place. Answer format: percent1 (a number with one decimal place, no percent sign).",percent1
q018,"Using person weights (PWGTP), what is the estimated number of persons living in renter-occupied housing units? Join each person record to its household record on SERIALNO and keep persons whose household has TYPEHUGQ equal to 1, NP greater than or equal to 1, and TEN equal to 3 (rented). Sum PWGTP over those persons. Answer format: integer, no separators.",integer
q019,"What is the PWGTP-weighted median of household income (HINCP) across persons living in occupied housing units, in ADJINC-adjusted dollars? Join persons to households on SERIALNO; the universe is persons whose household has TYPEHUGQ equal to 1 and NP greater than or equal to 1. Each person carries their household's HINCP. The weighted median is the smallest value v such that the sum of PWGTP over universe persons with HINCP <= v is at least half of the total PWGTP of the universe. Multiply that median by ADJINC / 1000000 and round to the nearest whole dollar. Note this is a person-weighted quantity and is not the same as the household-weighted median. Answer format: integer, no separators.",integer
q020,What is the PWGTP-weighted mean household size experienced by a person? Join persons to households on SERIALNO; the universe is persons whose household has TYPEHUGQ equal to 1 and NP greater than or equal to 1. Each person carries their household's NP. Weighted mean = sum(NP * PWGTP) / sum(PWGTP) over the universe. Round to exactly two decimal places. Note this is a person-weighted quantity and differs from the household-weighted mean household size. Answer format: decimal2.,decimal2
q021,"Using household weights (WGTP), what is the estimated number of occupied housing units whose householder is female? The householder is the person record with SPORDER equal to 1 for that SERIALNO. The universe is households with TYPEHUGQ equal to 1 and NP greater than or equal to 1; keep those whose householder has SEX equal to 2, and sum the household's WGTP (count each household once, with its household weight). Answer format: integer, no separators.",integer
q022,"What is the WGTP-weighted median age of householders of occupied housing units? The householder is the person record with SPORDER equal to 1 for that SERIALNO; use that person's AGEP as the household's value. The universe is households with TYPEHUGQ equal to 1 and NP greater than or equal to 1, weighted by WGTP. The weighted median is the smallest value v such that the cumulative sum of WGTP over universe households with householder AGEP <= v is at least half of the total WGTP of the universe. Answer format: integer, no separators.",integer
q023,"Using household weights (WGTP), what is the estimated number of occupied housing units in which at least one member is aged 65 or older? The universe is households with TYPEHUGQ equal to 1 and NP greater than or equal to 1. A household qualifies if at least one person record with the same SERIALNO has AGEP >= 65. Sum WGTP over qualifying households, counting each household once. Answer format: integer, no separators.",integer
